ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,RSI,MACD_DIF,MACD_DEA,MACD_Hist,BOLL_MA,BOLL_Upper,BOLL_Lower,BOLL_BW,K,D,J
600031.SH,2025-01-02,16.48,16.48,15.69,15.77,16.48,-0.71,-4.3083,853894.28,1368558.133,,0.0,0.0,0.0,,,,,50.0,50.0,50.0
600031.SH,2025-01-03,15.85,16.0,15.55,15.6,15.77,-0.17,-1.078,534033.71,842151.57,,-0.01356125356125304,-0.002712250712250608,-0.02169800569800486,,,,,49.99999999999999,49.99999999999999,49.999999999999986
600031.SH,2025-01-06,15.6,15.71,15.42,15.58,15.6,-0.02,-0.1282,454873.82,707452.833,,-0.02562706471538334,-0.007295213512877155,-0.03666370240501237,,,,,49.99999999999999,49.99999999999999,49.999999999999986
600031.SH,2025-01-07,15.59,15.64,15.43,15.52,15.58,-0.06,-0.3851,393682.19,611079.078,,-0.03957461402741913,-0.013751093615785552,-0.051647040823267154,,,,,49.99999999999999,49.99999999999999,49.999999999999986
600031.SH,2025-01-08,15.57,15.71,15.26,15.57,15.52,0.05,0.3222,573354.64,888892.453,,-0.046062584411178165,-0.020213391774864076,-0.051698385272628176,,,,,49.99999999999999,49.99999999999999,49.999999999999986
600031.SH,2025-01-09,15.51,15.56,15.32,15.37,15.57,-0.2,-1.2845,357776.55,551312.715,,-0.06657523830829959,-0.029485761081551178,-0.07417895445349681,,,,,49.99999999999999,49.99999999999999,49.999999999999986
600031.SH,2025-01-10,15.42,15.71,15.38,15.44,15.37,0.07,0.4554,467712.6,727772.401,,-0.07630366813301492,-0.03884934249184393,-0.07490865128234199,,,,,49.99999999999999,49.99999999999999,49.999999999999986
600031.SH,2025-01-13,15.39,15.7,15.23,15.31,15.44,-0.13,-0.842,384318.12,592609.973,,-0.09342647021069084,-0.04976476803561331,-0.08732340435015505,,,,,49.99999999999999,49.99999999999999,49.999999999999986
600031.SH,2025-01-14,15.31,15.85,15.3,15.8,15.31,0.49,3.2005,590312.54,925532.19,,-0.06668876277626978,-0.05314956698374461,-0.02707839158505035,,,,,48.53333333333333,49.511111111111106,46.57777777777778
600031.SH,2025-01-15,15.8,15.8,15.38,15.4,15.8,-0.4,-2.5316,543389.11,843185.8,,-0.07688926250398964,-0.05789750608779362,-0.03798351283239204,,,,,39.71486291486291,46.24569504569504,26.653198653198658
600031.SH,2025-01-16,15.49,15.8,15.44,15.54,15.4,0.14,0.9091,542228.15,847230.101,,-0.07283678494019163,-0.06088536185827323,-0.02390284616383681,,,,,43.14324194324189,45.211544011543985,39.0066378066377
600031.SH,2025-01-17,15.49,15.54,15.31,15.42,15.54,-0.12,-0.7722,426413.35,657250.287,,-0.07840436764730008,-0.0643891630160786,-0.028030409262442962,,,,,38.97721505893544,43.13343436067447,30.664776455457385
600031.SH,2025-01-20,15.5,16.06,15.5,15.92,15.42,0.5,3.2425,963356.38,1530045.633,,-0.04198689691757096,-0.05990870979637707,0.03584362575761223,,,,,53.69565341278431,46.654174044711084,67.77861214893076
600031.SH,2025-01-21,16.05,16.23,15.88,16.21,15.92,0.29,1.8216,629239.09,1016548.149,,0.010157695784268839,-0.045895428680247895,0.11210624892903347,,,,,68.46376894185622,53.92403901042613,97.54322880471639
600031.SH,2025-01-22,16.21,16.33,16.0,16.1,16.21,-0.11,-0.6786,479082.6,772633.831,56.00000000000003,0.04212103541352441,-0.028292135861493435,0.14082634255003568,,,,,72.00614899154058,59.951409004130944,96.11562896635986
600031.SH,2025-01-23,16.21,16.26,16.02,16.07,16.1,-0.03,-0.1863,421624.11,679202.056,55.34973735139619,0.06429036377931219,-0.00977563593333231,0.14813199942528898,,,,,73.45864478223922,64.45382093016704,91.46829248638358
600031.SH,2025-01-24,16.06,16.29,16.01,16.2,16.07,0.13,0.809,361406.49,585630.964,57.64489902963545,0.09129721234191557,0.010438933721717265,0.1617165572403966,,,,,78.09864344705917,69.00209510246441,96.2917401362487
600031.SH,2025-01-27,16.29,16.34,16.1,16.1,16.2,-0.1,-0.6173,302234.69,488912.395,55.29049456936731,0.1034387921292339,0.029038905403220596,0.1487997734520266,,,,,77.63210534011068,71.87876518167982,89.1387856569724
600031.SH,2025-02-05,16.1,16.17,15.78,15.81,16.1,-0.29,-1.8012,450016.98,713063.047,49.03567190921559,0.08863873307793924,0.040958870938164325,0.09535972427954982,,,,,67.93596666686992,70.56449901007652,62.678901980456715
600031.SH,2025-02-06,15.79,15.87,15.58,15.76,15.81,-0.05,-0.3163,553644.78,869586.767,48.02687090027913,0.07204451321634942,0.04717599939380134,0.049737027645096146,15.7245,16.310349810104945,15.138650189895056,7.451426882952647,59.853751240696425,66.99424975361649,45.5727542148563
600031.SH,2025-02-07,15.78,16.8,15.64,16.75,15.76,0.99,6.2817,1304535.45,2129487.598,63.87431787136152,0.1371966826898472,0.06518013605301051,0.14403309327367336,15.773500000000002,16.517861966278574,15.029138033721429,9.438133150899574,71.95378287841298,68.64742746188199,78.56649371147495
600031.SH,2025-02-10,16.71,17.05,16.62,16.99,16.75,0.24,1.4328,983276.22,1664804.717,66.53806062304879,0.2058236338991133,0.09330883562223108,0.22502959655376442,15.843,16.75894299983534,14.927057000164659,11.56274695241231,79.94197770125486,72.41227754167294,95.00137802041868
600031.SH,2025-02-11,16.98,17.06,16.84,16.88,16.99,-0.11,-0.6474,492631.29,833681.769,64.20144563138899,0.24847069101293684,0.12434120670037224,0.2482589686251292,15.908000000000001,16.924362968732392,14.89163703126761,12.778010670510323,82.57393108011586,75.79949538782057,96.12280246470641
600031.SH,2025-02-12,16.84,17.12,16.76,16.99,16.88,0.11,0.6517,507705.32,860584.288,65.5059510259926,0.2878269814466954,0.1570383616496369,0.261577239594117,15.9815,17.088307167153857,14.874692832846142,13.851104929497954,85.56876790622437,79.05591956062183,98.59446459742944
600031.SH,2025-02-13,17.0,17.2,16.9,16.96,16.99,-0.03,-0.1766,580842.53,990681.003,64.81228412785862,0.3129884399751752,0.18822837731474457,0.24952012532086132,16.051,17.221728967690414,14.880271032309585,14.587614076262096,85.44090699921134,81.18424870681832,93.95422358399736
600031.SH,2025-02-14,16.99,17.48,16.98,17.46,16.96,0.5,2.9481,1061950.65,1842907.122,70.43212219703067,0.3690210534664331,0.22438691254508228,0.28926828184270165,16.155499999999996,17.43805460538312,14.872945394616874,15.877621929164961,89.94306080649176,84.1038527400428,101.62147693938968
