trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,MA5,MA10,MA20,MA60
20250704,688981.SH,86.0,87.2,84.86,85.8,86.24,-0.44,-0.5102,252257.45,2166412.311,,,,
20250707,688981.SH,85.69,86.86,85.37,85.48,85.8,-0.32,-0.373,135349.28,1162397.568,,,,
20250708,688981.SH,85.49,86.85,85.18,86.74,85.48,1.26,1.474,217668.48,1876172.23,,,,
20250709,688981.SH,86.65,86.86,85.52,85.85,86.74,-0.89,-1.0261,183102.0,1578143.686,,,,
20250710,688981.SH,85.61,86.17,85.5,85.67,85.85,-0.18,-0.2097,175639.46,1506706.468,85.90799999999999,,,
20250711,688981.SH,85.7,89.34,85.4,88.16,85.67,2.49,2.9065,469922.38,4128335.55,86.38,,,
20250714,688981.SH,88.3,88.49,87.47,87.52,88.16,-0.64,-0.726,189831.36,1667925.619,86.78799999999998,,,
20250715,688981.SH,87.15,87.95,86.61,87.89,87.52,0.37,0.4228,206173.16,1800356.659,87.018,,,
20250716,688981.SH,87.73,88.2,86.77,87.12,87.89,-0.77,-0.8761,196708.51,1720548.788,87.272,,,
20250717,688981.SH,87.06,89.0,86.32,88.79,87.12,1.67,1.9169,287922.16,2535637.954,87.896,86.902,,
20250718,688981.SH,88.75,89.13,87.93,88.51,88.79,-0.28,-0.3154,219959.93,1948101.635,87.96600000000001,87.173,,
20250721,688981.SH,88.45,89.52,88.04,89.02,88.51,0.51,0.5762,222719.15,1983498.56,88.266,87.527,,
20250722,688981.SH,88.7,90.55,88.5,89.08,89.02,0.06,0.0674,297420.68,2662984.479,88.504,87.761,,
20250723,688981.SH,88.9,90.19,88.3,89.39,89.08,0.31,0.348,316549.41,2831683.379,88.958,88.115,,
20250724,688981.SH,89.1,92.9,89.0,91.75,89.39,2.36,2.6401,522324.53,4779308.503,89.55,88.723,,
20250725,688981.SH,91.74,93.68,90.99,93.47,91.75,1.72,1.8747,442124.79,4076414.682,90.542,89.25399999999999,,
20250728,688981.SH,93.64,93.69,91.96,92.18,93.47,-1.29,-1.3801,342640.05,3167887.757,91.174,89.72,,
20250729,688981.SH,92.0,92.63,90.81,92.17,92.18,-0.01,-0.0108,294142.08,2699803.673,91.792,90.148,,
20250730,688981.SH,91.7,91.83,89.74,90.36,92.17,-1.81,-1.9638,310018.59,2815721.986,91.986,90.47200000000001,,
20250731,688981.SH,90.32,92.75,89.46,89.5,90.36,-0.86,-0.9517,461988.52,4187082.774,91.536,90.543,88.7225,
20250801,688981.SH,89.2,90.33,88.02,88.29,89.5,-1.21,-1.352,274140.33,2439842.712,90.5,90.521,88.84700000000001,
20250804,688981.SH,87.95,90.63,87.88,90.07,88.29,1.78,2.0161,286057.6,2568808.038,90.078,90.626,89.0765,
20250805,688981.SH,89.85,90.58,89.58,90.0,90.07,-0.07,-0.0777,195679.4,1761818.589,89.644,90.718,89.23949999999999,
20250806,688981.SH,89.86,91.0,89.53,90.78,90.0,0.78,0.8667,267797.87,2418543.09,89.728,90.857,89.486,
20250807,688981.SH,90.7,91.7,89.75,90.59,90.78,-0.19,-0.2093,315259.94,2859638.85,89.946,90.74100000000001,89.732,
20250808,688981.SH,88.0,88.5,86.66,86.66,90.59,-3.93,-4.3382,584730.5,5098977.106,89.62,90.06,89.657,
20250811,688981.SH,86.69,87.18,86.22,86.96,86.66,0.3,0.3462,279193.14,2423559.078,88.998,89.538,89.62899999999999,
20250812,688981.SH,86.95,90.1,86.42,88.52,86.96,1.56,1.7939,551552.4,4870773.398,88.702,89.173,89.6605,
20250813,688981.SH,88.01,89.23,88.0,88.66,88.52,0.14,0.1582,384304.42,3405728.487,88.27799999999999,89.003,89.7375,
20250814,688981.SH,88.69,92.58,88.69,89.46,88.66,0.8,0.9023,741492.26,6741604.128,88.05199999999999,88.999,89.771,
20250815,688981.SH,89.0,93.3,88.48,91.84,89.46,2.38,2.6604,690499.46,6288369.53,89.088,89.354,89.9375,
20250818,688981.SH,93.5,95.17,91.36,92.31,91.84,0.47,0.5118,833423.13,7749849.746,90.15799999999999,89.578,90.102,
20250819,688981.SH,91.67,92.48,89.35,89.35,92.31,-2.96,-3.2066,744652.14,6762914.098,90.324,89.51299999999999,90.11550000000001,
20250820,688981.SH,89.4,92.49,88.19,92.28,89.35,2.93,3.2792,858745.56,7756060.795,91.048,89.663,90.26,
20250821,688981.SH,92.3,94.11,90.8,91.05,92.28,-1.23,-1.3329,606826.05,5593619.618,91.366,89.70899999999999,90.225,
20250822,688981.SH,92.5,105.0,92.42,103.97,91.05,12.92,14.19,2061948.09,20322967.7,93.792,91.44,90.75,
20250825,688981.SH,106.0,109.24,101.1,103.17,103.97,-0.8,-0.7695,1760636.98,18348502.386,95.964,93.061,91.2995,
20250826,688981.SH,101.0,102.57,100.13,100.93,103.17,-2.24,-2.1712,856074.09,8663988.281,98.28,94.30199999999999,91.7375,
20250827,688981.SH,102.2,106.69,100.59,101.51,100.93,0.58,0.5747,1422620.71,14762335.293,100.126,95.587,92.29499999999999,
20250828,688981.SH,102.0,119.22,101.99,119.22,101.51,17.71,17.4466,2420325.11,27118768.322,105.75999999999999,98.56300000000002,93.78099999999999,
20250829,688981.SH,114.0,116.0,112.26,114.76,119.22,-4.46,-3.741,1639670.37,18711478.532,107.918,100.855,95.1045,
20250909,688981.SH,102.0,108.65,101.2,102.99,114.76,-11.77,-10.2562,1574695.7,16482005.03,107.88200000000002,101.923,95.7505,
20250910,688981.SH,103.0,105.96,102.13,103.91,102.99,0.92,0.8933,1039925.7,10822524.036,108.478,103.37899999999999,96.446,
20250911,688981.SH,102.62,112.8,99.98,110.28,103.91,6.37,6.1303,1467501.66,15776091.423,110.23200000000001,105.179,97.421,
20250912,688981.SH,109.28,112.49,108.01,108.42,110.28,-1.86,-1.6866,1159022.04,12730296.246,108.072,106.91600000000001,98.3125,
20250915,688981.SH,110.55,112.55,107.5,108.66,108.42,0.24,0.2214,946836.18,10395575.384,106.852,107.38499999999999,99.4125,
20250916,688981.SH,109.0,111.86,108.09,109.78,108.66,1.12,1.0307,866259.24,9501062.259,108.21,108.046,100.5535,
20250917,688981.SH,110.8,120.8,109.8,117.39,109.78,7.61,6.932,1528475.61,17861084.416,110.90599999999999,109.69200000000001,101.997,
20250918,688981.SH,119.98,127.49,116.35,122.15,117.39,4.76,4.0549,1931567.78,23495279.107,113.28,111.756,103.6715,
20250919,688981.SH,123.0,127.4,120.11,121.34,122.15,-0.81,-0.6631,1449106.23,17943778.048,115.86399999999999,111.96799999999999,105.2655,
20250922,688981.SH,120.54,129.83,119.05,128.92,121.34,7.58,6.2469,1588281.47,19858613.711,119.91600000000001,113.38399999999999,107.11949999999999,
20250923,688981.SH,127.64,129.33,122.63,128.51,128.92,-0.41,-0.318,1441273.53,18120121.818,123.66199999999999,115.93599999999999,108.9295,
20250924,688981.SH,126.88,137.98,126.23,134.98,128.51,6.47,5.0346,1460947.53,19497523.266,127.17999999999999,119.043,111.21100000000001,
20250925,688981.SH,133.0,137.8,132.31,134.11,134.98,-0.87,-0.6445,1032583.21,13953307.668,129.572,121.42600000000002,113.30250000000001,
